dataset,selector,model,accuracy,features
batbuoc,Chi2,SVM,0.5957446808510638,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,RF,0.7021276595744681,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,Chi2,XGB,0.6808510638297872,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,LR,0.7127659574468085,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,KNN,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,SVM,0.7021276595744681,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,RF,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,ANOVA,XGB,0.6808510638297872,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
batbuoc,MutualInfo,LR,0.7127659574468085,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,MutualInfo,KNN,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,MutualInfo,SVM,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,MutualInfo,RF,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,MutualInfo,XGB,0.7659574468085106,"Index(['COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'COS515'],
      dtype='object')"
batbuoc,RFImportance,LR,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
batbuoc,RFImportance,KNN,0.648936170212766,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
batbuoc,RFImportance,SVM,0.723404255319149,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
batbuoc,RFImportance,RF,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
batbuoc,RFImportance,XGB,0.7127659574468085,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
batbuoc,RFE,LR,0.7446808510638298,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
batbuoc,RFE,KNN,0.648936170212766,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
batbuoc,RFE,SVM,0.7127659574468085,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
batbuoc,RFE,RF,0.7553191489361702,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
batbuoc,RFE,XGB,0.7021276595744681,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
tuchon,Chi2,LR,0.5531914893617021,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
tuchon,Chi2,KNN,0.574468085106383,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
tuchon,Chi2,SVM,0.5957446808510638,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
tuchon,Chi2,RF,0.7021276595744681,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
tuchon,Chi2,XGB,0.6808510638297872,"Index(['TIE903', 'CON913', 'COS324', 'COS327', 'IMS504', 'IMS505', 'IMS914',
       'SEE504', 'TIE911', 'TIE913'],
      dtype='object')"
tuchon,ANOVA,LR,0.7127659574468085,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
tuchon,ANOVA,KNN,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
tuchon,ANOVA,SVM,0.7021276595744681,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
tuchon,ANOVA,RF,0.6914893617021277,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
tuchon,ANOVA,XGB,0.6808510638297872,"Index(['COS304', 'COS309', 'COS310', 'COS315', 'COS503', 'IMS302', 'PRS101',
       'SEE301', 'SEE505', 'TIE913'],
      dtype='object')"
tuchon,MutualInfo,LR,0.7553191489361702,"Index(['CON501', 'COS309', 'COS310', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
tuchon,MutualInfo,KNN,0.7659574468085106,"Index(['CON501', 'COS309', 'COS310', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
tuchon,MutualInfo,SVM,0.7978723404255319,"Index(['CON501', 'COS309', 'COS310', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
tuchon,MutualInfo,RF,0.776595744680851,"Index(['CON501', 'COS309', 'COS310', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
tuchon,MutualInfo,XGB,0.776595744680851,"Index(['CON501', 'COS309', 'COS310', 'COS503', 'IMS302', 'MAT105', 'PRS101',
       'SEE505', 'TIE903', 'IMS914'],
      dtype='object')"
tuchon,RFImportance,LR,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
tuchon,RFImportance,KNN,0.648936170212766,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
tuchon,RFImportance,SVM,0.723404255319149,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
tuchon,RFImportance,RF,0.7446808510638298,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
tuchon,RFImportance,XGB,0.7127659574468085,"Index(['SEE505', 'IMS302', 'TIE903', 'COS309', 'COS503', 'COS315', 'COS311',
       'SEE508', 'COS313', 'PRS101'],
      dtype='object')"
tuchon,RFE,LR,0.7446808510638298,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
tuchon,RFE,KNN,0.648936170212766,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
tuchon,RFE,SVM,0.7127659574468085,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
tuchon,RFE,RF,0.7553191489361702,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
tuchon,RFE,XGB,0.7021276595744681,"Index(['CON915', 'COS304', 'COS309', 'HCM101', 'MAT105', 'MAX102', 'PRS101',
       'TIE903', 'VRP101', 'TIE913'],
      dtype='object')"
